review,Aspect
"Overall, whatever good thing I had to say about the keyboard, the godforsaken spacebar tosses it out the window",spacebar
"unfortunately, i'm going to return it to the store primarily because the keys are just too hard to push -- especially the spacebar",spacebar
What I'm trying to say is that when you press the spacebar with your left thumb the space bar behaved normally and felt/sounded consistent with any other key,spacebar
"I pulled the spacebar key off a few times and tried to fix it, so far to no avail",spacebar
It's a great keyboard EXCEPT for the spacebar,spacebar
The spacebar keypad measures five and one-half inches in length but is only most responsive at its center,spacebar
Due to a pitifully bad design the spacebar will bend incredibly far before suddenly snapping and finally registering the keypress,spacebar
Keyboard response is stiff/sluggish - especially the spacebar,spacebar
"I went to the local office stores and tried their floor models of the Microsoft 4000, and they all had that thumping sound - only the spacebar",spacebar
My primary desktop keyboard's spacebar ended up choking with a deadline approaching the next day so I had to resort to using this mini keyboard as my primary,spacebar
"However, the split nature of this keyboard makes the space bar longer than those found on traditional keyboards (the MS spacebar is a full 1",spacebar
"With a spacebar actuator on both the left and right sides of the keyboard, this problem would disappear and the space bar would actuate like all of the other keys (which respond nicely)",spacebar
"At this point, when the spacebar is hit at the upper left or right corner, it will jam",spacebar
"If Microsoft had split the spacebar or found a way to make it less clunky and horrible, I probably would have kept the keyboard",spacebar
#NAME?,spacebar
I usually hit the spacebar key with my right hand,spacebar
"Ergo: The shape of the keyboard and placement of keys (other than spacebar), is pretty darn comfortable Keyboard noise/response: Doesn't make too much noise which is good(but neither does it feel rock solid",spacebar
This keyboard seems to drop keystrokes (particularly the spacebar) and there is no known workaround,spacebar
"Aside from a slightly different keyboard layout which I'll have to get used to, I'm much happier with that keyboard -- no problems with the spacebar, very responsive keyboard, and no stiff keys aside from the function keys",spacebar
The spacebar key is springloaded in the middle and if you hit the key on the ends it is a little hard to press down,spacebar
"Edit: ----- I have this keyboard at office now, the spacebar is working much better on that (it could be better though)",spacebar
"
",spacebar
I was looking for a keyboard with backlighted keys,keys
"I received it and it is NOT visible in poor lighting, despite the claim of the big white lettered keys! [received, is, lettered] [visible, poor, big, white]
",keys
"The keys work smoothly and have some hot keys, however I will never use some of them on the Mac so I cannot comment on the keyboard's full potential",keys
"Was really excited about having a compact keyboard with backlit keys for my home media center, but the range proved to be a problem",keys
It has been widely reported and I will confirm: The N key is wider than the other keys (to fill in space) and the mechanical trigger for the key is in the center rather than towards the right where you typically hit the key,keys
"The media keys at the top are nice, and you can customize them a fair bit when you install the Intellikey software",keys
"MS keyboards (especially this one) are very wide and use a ton of space to the right of the arrow keys, mainly for the number pad",keys
The keys feel nice and are pretty quiet,keys
"I like that you can create your own shortcuts for each of the top function keys, and the zoom and back/forward buttons are nice to have (though the back/forward buttons are too far down and my mouse already has those)",keys
The page up and down keys use to be by themselves and now have an insert key right next to them which is annoying,keys
You need really big hands and really long fingers to be able to reach all the number keys,keys
"Well, to my surprise, it does take an unexpectedly strong stroke to get a space compared to the other keys",keys
"I was typing on a phone call and I realized that it was literally difficult to hear my colleague over the ""din"" of my keystrokes",keys
"As a programmer, I can't stand that they changed the layout of the center row (ins, del, pgup, pgdn), slowing me down considerably, as well as the arrow keys (too small &amp; awkward)",keys
"Pros: - perfect ergonomics - nice leather wrist padding Cons: - noisy spacebar - spacebar presses harder then letter keys - F-keys devided into two groups, while classically it should be three - a bit large Could be perfect without issue with spacebar",keys
This was so they could squeeze in the up/down/left/right arrow keys into the layout they wanted,keys
"Will someone inform this keyboard manufacturer that directional keys are very rarely used, but the shift key is used QUITE OFTEN",keys
"The noise was exacerbated by the fact that the other keys are remarkably quiet, so the sound becomes even more annoying",keys
"And worst, the layout of the other keys outside of the main qwerty area of the keyboard, specifically the cursor key, is just a terrible layout for anyone who has used a keyboard regularly at any time in the past 40 years",keys
"As stated in many of the other reviews, the displacement of the arrow keys and the 6 navigation keys is VERY unnerving",keys
It has all the necessary short cut keys and was easy to set up,keys
Full-size keys are easy to press,keys
The keys are responsive and types just fine,keys
I have average sized hands and I always felt like I had to stretch to reach the number and function keys,keys
It was a really stupid feature to overload the function keys with yet another key,keys
"Misses too many keystrokes, and the buttons are laid out in a perfect smashed grid, so you won't be able to type as fast",keys
"Has some but not all ""F"" keys and a dedicated Ctrl+Alt+Del key Cons: Placement of the touchpad is OK but seems to hinder your typing some, Touchpad not very responsive with sensitivity all the way up",keys
"Certain keys (2, 4, T and some others) simply don't work any more",keys
Fortunately I prefer to use the arrow keys and enter inside Boxee so really it ends up being a non-issue,keys
I do not know if this is a function of whatever they are using to put white print on black keys or just cheap junk manufacturing,keys
It's disappointing that something so simple could limit the usable life of a keyboard (without buying some stickers to put on top of the naked keys,keys
The F-keys are convex and even stiffer,keys
"The volume controls and extra function keys are nice, but I wish it wasn't so big and bulky",keys
"First, the good: keypress sounds are quiet, the weird key shapes did a very good job of making it easier for my hands to each the keys on each side, and installation was flawless (I didn't even have to install the software)",keys
The same thing holds for several other keys,keys
It will then relay anywhere from none to all of the keystrokes in rapid succession to the computer (resulting in it spazzing out for a few seconds as it does the things you told it to,keys
"And if you like your keys to have a little bounce to them, you will likely be disappointed by this keyboard as well",keys
The programmable keys are a nice feature,keys
#NAME?,keys
"- Finally, I liked the placement of an extra set of EQUAL, PARENTHESIS and BACKSPACE at the top right corner (especially the parenthesis, I always hated finding the opening and closing one among the numbers) Now, THE BAD: - For some reason the ENTER and RIGHT SHIFT keys are too small! [liked, hated, finding, closing, are] [extra, top, small]
",keys
"I could do with regular sized ""H"" and ""N"" keys if it would mean not hunting the ENTER",keys
"<p>But, if you are a touch-typist and your fingers already know where the keys are supposed to be, then you'll be greatly disappointed and/or frustrated with this Natural Keyboard Elite",keys
"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",keys
"The only great thing this board has going for it is the slight curve of the keys, though it is hardly noticeable, unlike the split ergonomic boards",keys
"All (home, arrows, etc) keys are in a very standard layout for a full-size keyboard",keys
"It was almost a better keyboard than all the rest, BUT - It is less bent than the earlier natural keyboards - - - unless you are tiny, your wrists won't be straight - the home-end-pgup-pgdn key group are changed again - - - back to 2 rows of 3 keys - - - if you just relearned the 3 rows of 2 keys layout, this is really bad - the left corner of the wrist rest is cut way too close - - - if you have big hands the edge digs into your hand - miserable! [was, is, are, be, are, changed, relearned, is, left, is, cut, have, digs] [better, bent, earlier, natural, tiny, straight, key, bad, close, big, miserable]
",keys
"There are lots of bells and whistles such as programmable keys and the sort, but these are more of a gimmick than anything else",keys
"The key response and placement are ok, but it's easy to mistype because of the angle of the keys",keys
The keys were very quiet and smooth,keys
It had many convenient shortcut keys which I could reprogram for my own custom purpose,keys
The reason for this appears to be that there is not one solid plastic piece under the keys,keys
"If you remove some keys, you can see the contacts inside, so if you get a little bit of water on it, it will drip straight down and ruin the entire thing",keys
Someone suggested removing all the keys and spraying some rubbing alcohol down there to help any excess water evaporate out,keys
"Second, it looks like Microsoft decided that since the keyboard was split and that they had extra room, they would change the size of a few lettered keys towards the middle so they are twice the size of a normal key! [looks, decided, was, split, had, change, are] [extra, few, lettered, middle, normal]
",keys
The large hot keys at the top of the keyboard are a nice touch,keys
"I had an older version of this keyboard, and the keys on the old keyboard are closer together, or for some reason, just easier to depress",keys
"it's a pity, they didn't take a lesson on how to make keys from the old IBM keyboards from early 1980's",keys
Buy an ergonomic keyboard with standard-sized and configured arrow keys,keys
"MS did some things right: It's in black (gone are the days of the beige box), power user keys a re included, the keyboard now has a base tilt, and finally rest pad",keys
"The right windows key (between the ""alt"" and ""menu"" hot-keys in line with the space bar) is now gone",keys
The function keys now have presets (optional) 4,keys
"There are now silver hot keys at the top for 5 programmable functions and several other keys for standard windows functions such as e-mail, home directory, zoom, mute, increase/decrease volume, play/pause, and calculator 5",keys
"The keys had just the right feel, and the quality was excellent",keys
"If you look closely at the arrow keys, ""Insert"", ""Home"", ""Delete"", and ""End"" keys you will see that the keys are smaller and arranged differently than a standard keyboard",keys
The numeric key pad and the regular typewriter keys are fine,keys
That keyboard's been through hell and is really showing its age in the form of lots of friction and loud keys,keys
The keys are reasonably quiet,keys
"I felt like it needed more tilt and angle to the keys, but otherwise was a reasonable keyboard",keys
I do wish they had kept the editing keys and dispensed with the num pad altogether so that the keyboard wouldn't take up so much desk space,keys
"I simply could not find the break, but there definitely was one in the flex circuit because all the other keys worked",keys
"pros: Decent product, works, has plenty of hot keys",keys
I have both the old kind (arrow keys in an inverted-T shape) and a new kind (arrow keys in a cross pattern) This keyboard had inherent problems with Windows NT 4,keys
I like keys that have a consistent feedback,keys
"A keyboard has its first use: be good and efficient in hitting those keys - all the other stuff is secondary! [has, be, hitting, is] [first, good, efficient, other, secondary]
",keys
"Partly because I was trained on IBM selectrics and manual typewriters that belonged to my grandparents, and partly because I'm a classically trained cellist, my fingers slam into those keys fast and hard",keys
Since the ergonomic keyboards are shaped in a wave form (of sorts) there is a nominal communication from the keys that one has indeed typed that letter,keys
Number one annoyance:  The Caps Lock key is placed so closely to the Tab and Shift keys that I am forever grumbling at this machine as I accidentally hit the Caps Lock key instead of Shift or Tab,keys
"When you first get this keyboard (especially new builds, 2011) their keys are soft and quiet and it's the best keyboard there is",keys
"Some terrible things about the product (when compared to the Chinese iPazzPort, which is likely a knockoff of the Rii that has other features added): * The mouse is not multi-touch * There are no page-up/page-down keys that can be accessed without also holding down the ""function"" key (compared to the iPazzPort which has a page up/down rocker on the side of the device next to the laser pointer switch) * The laser pointer is very weak compared to the iPazzPort * The laser pointer requires the radio to be turned on * The F-keys are the default; you have to use the function+Fkey combination to access things like volume up/down",keys
"Because the F keys can be activated without a key combination, they can be combined with modifiers (like ALT) which makes application hot keys (e",keys
"Finally, there are nubs on the F and J keys to allow for finding the home row in the dark (although the blue backlighting (compare to orange with the iPazzPort) is easy to activate)",keys
I was also happy to find that Windows multimedia keys were included on the keyboard,keys
"I am an average-sized woman at 5'5"", and have relatively long fingers, but the reach on this keyboard from the home keys to the Q/Tab or backspace/enter was absurdly and uncomfortably far",keys
"Although all of the keys worked on the second keyboard, they still felt really stiff (especially the space bar), making for a very unpleasant typing experience",keys
"Extra F keys (Fn+1=F9, Fn+2=F10, Fn+3=F11, and Fn+4=F12) 3) Sometimes capslock get reversed I'm not sure why it happens but to go back to normal with caps on switch keyboard off the back on",keys
All the other keys were soft and easy to type,keys
"It just doesn't have the extra keys like calculator, volume control, etc",keys
"Elite also has smaller keys for the arrow keys, the page up/down, home/end, and delete/insert keys",keys
"Much as I like the subtly curved design and the widening keys, the power shortcut keys, they're of no use to me when it repetedly breaks down",keys
"The mechanisms don't seem to be built for larger keys, so you have to find sweet spots in keys like CTRL and the space bar, or else you're just bending plastic without registering a keystroke",keys
"On OS X, IntelliType is required if you want to swap the CTRL, ALT, and Windows keys to represent CTRL, Option, and Command keys on a standard Mac keyboard",keys
"other than that, just hate that microsoft messed up on the keycodes for the zoom keys",keys
It will lock-up and have my character running in some random direction no matter which keys I hit after that,keys
Extra keys above number pad are useful and make sense,keys
HOME END BLOCK and Arrow keys maintain their usual shape which is good,keys
'Back' and 'Forward' keys not real keyboard keys and they stick,keys
"The 'back' and 'forward' should be replace with real keys that can be programmed to something useful to the user like backspace, enter, cntl, cmd or windows key",keys
This would hopefully reduce the need to constantly use ones little fingers to hit these important keys with out freaking of users that want to maintain as much normalcy as possible,keys
"I like the special keys for Zoom, Back, Forward, Calculator, - () backspace",keys
When typing the main keys you are fine and this definitely has a much more ergonomic feel than other keyboards I have tested over the years,keys
As for the non-ergonomic aspect of the keyboard there are plenty of keys along the top of the keyboard that can be programmed to limit the amount of times one has to use a mouse,keys
The keys have a good feel,keys
"Also,  the space bar requires much more push than the rest of the keys",keys
"Pros: - nice compact size for thumb typing on the couch - good battery life and recharge-ability via USB - up/down left/right keys nice for navigating WMC and XBMC - back-lit keys for dark rooms Cons: - not durable at all (don't let it fall) - laser pointer feature useless for my application of this product (might be okay for PowerPoint slide viewing on a projector screen) - very limited RF receiver to keyboard range - has to have very unobstructed line of sight or typing/mousing functionality will be severely impacted - very bad placement of left/right mouse click buttons (after using this product I can say the ideal place for these would be in the upper left-hand corner ; thank you for this lesson FAVI as I will keep it in mind while I'm searching for your product's replacement) This was my first attempt at the ultimate HTPC keyboard/mouse, and after using it, I can say this product was good at pointing out all the flaws of these types of devices in today's market",keys
It is the most comfortable keyboard I've ever used because of the curved layout and the super soft keys,keys
"I ultimately chose it for ergonomics, and it's insert/home/delete/end configuration, which was very important to me, because I use those keys constantly too",keys
"The first is that sometimes it will lose signal for 5-10 second, after which time all the keystrokes you make may or may not appear at once",keys
"really, i found most of the hot keys MS decided to put on the keyboard not very usefull: mail, search, home, calculator and then 5 custom keys",keys
"it has media keys that do work with the mac; but it's missing a very important ""next track"" and somewhat less important ""prev track""",keys
"the keys on the apple keyboard are very nice: short action, soft touch, tactile feedback",keys
"of course, the predefined hotkeys on the apple keyboard suit my mac better: expose, dashboard, and a full set of itunes controls",keys
"It's a great, lightweight, quiet design and has just the right amount of ""extra"" keys",keys
So maybe I guess I just bought a faulty one; surely Microsoft does not make and entire model of keyboard where the keys malfunction after only a few months,keys
"All keys (including left and right click under the touchpad), backlight, and laser pointer still work",keys
I have Dell keyboards that after 10 years the labels on the keys are just fine,keys
"The keys have a nice tactile feel; nothing outstanding, but it feels better than many keyboards I have used",keys
"Even then, even if you mashed some keys on your keyboard at the same time you woke up your mouse, they keyboard will take longer",keys
The spacebar works and the keys are softer but by no means too soft,keys
"Thing is, it's a windows keyboard so even though it uses a USB, none of the internet keys work with the imac, with the exception of the volume control, and that's disappointing",keys
The keys are in decent places,keys
"For one, people say the keys are quite easy to press, it is, slightly",keys
The wireless optical pro kit that has a ergo keybord like this is much softer meaning all you have to do is slightly tap the keys and you're good to go,keys
"It's compact, has a full keyboard with a logical layout of keys, has an effective touchpad with a scrolling zone on the right side, and has great backlighting and battery life",keys
On rare occasions this happens with other keys as well,keys
"If you set the keyboard down flat, most keyboards the keys will sit pretty close to flat from the row with the numbers on it to the row with the space bar on it",keys
"I just use it to do my work and paper typing, but the unacceptable thing is that several keys' ""life expectancy"" is too short",keys
"It's completely unusable in games: Nothing brings you out of gaming annoys you quite like your keyboard simply stopping working for 5-10 seconds at a time, and THEN sending all those keystrokes at once",keys
I am using this keyboard on the mac - i was able to program the keys all ok - took some doing,keys
"The touch of the keys is soft and comfy, the ergonomic design is brilliant and requires little adjustment, but the space bar  sticks and clacks",keys
The keys are easy to use,keys
So if you're thinking that you text fast & this wouldn't be a problem consider the inch of dead space between your thumb & the keys,keys
These may seem like minor quibbles to some of you -- but they preclude the possibility of hitting these keys without looking at them,keys
"This does not have a full sized keyboard, and while I thought I might be able to live with it anyway, my hands are too large and I'm too used to a full sized keyboard to get my fingers to hit the correct keys, even when concentrating",keys
"The right shift key, in particular, is a real problem because Logitech replaces the full sized key with two smaller keys: Shift and Enter",keys
"Pros: Installs easily, Small size, good battery life, keys work well",keys
"The slight curve design has alleviated a great deal of pain on my wrists and the shortcut keys are great for fast access to the email, web, etc",keys
"The curve and the size of some of the keys, however, make it not optimal for the small-handed, such as myself",keys
Alt-f4 doesn't work because Microsoft remapped the keys on this keyboard so the keyboard's shortcuts don't work the same way as the Windows operating system,keys
On almost every occasion I would have to hit one of my password characters twice and at same time double check the screen so I didn't miss type or type extra keys,keys
"Still, it was VERY difficult to reach the upper keys, even after I got used to the split keyboard",keys
"I use some of the extra keys, for example, I use the sound volume and muting functions frequently, as well as the calculator button",keys
"Because I use a 4-key trackball, I have no use for the browsing keys",keys
"Also, there is no way of having indication of when caps/scroll lock/numlock keys are on/off, which is stupid because my very old S510 told me on-screen through the SetPoint software- which **should** work with this combo also, but it doesn't",keys
"So if you get this then forget having any extra adjustments or on-screen displays for volume, lock keys, etc",keys
"I will say neither the kbd or mouse ever missed a keystroke or click, but most any keyboard can do that",keys
"I was glad for the function keys, since this is replacing one of those wired Dell multimedia keyboards with the round volume control knobs (which I really liked)",keys
The keys themsleves have a great tactile feel and are very quiet - exaclty what I was looking for,keys
"Any time I would press certain keys (E, C, X, Enter, Delete), the thing would go haywire and press all kinds of random characters and cause general chaos in both my Windows XP and Mac OS X machines",keys
It always happened when I would press a key (such as the arrow keys) in rapid succession,keys
"I'm largely happy with this keyboard but will note several caveats: * The media keys do not provide next/previous track keys * The elevating skirt to raise the front edge of the keyboard is awkward to add/remove and is cheaply constructed * The keys are quite responsive but are a bit louder than I think they need to be, particularly the spacebar Ergonomically this is the most comfortable keyboard I've ever used",keys
My previous keyboard had a solid feel and the keys were very responsive,keys
"I bought a 4000 in December,and now, less than eight months later, I can't see five letter keys or the period, and some of the other letters are shrinking as parts of them disappear",keys
In this case the arrow keys are not in their normal positions,keys
"It's a comfortable keyboard to use, and the extras like the volume buttons and other shortcut keys are nice, but the workmanship and quality is just lousy",keys
"The arrangement of the Home/Page Up/Page Dn/End/Delete/Insert and arrow keys may allow the keyboard to fit in trays, but otherwise it is insane",keys
I never realized how much I use those keys until I was swearing at this keyboard,keys
"There are no dedicated Media Center buttons, but rather Function keys that are assigned to Media Center commands like fast forward",keys
It's quite disappointing to see Microsoft not bothering to fix this one glaring issue on one of the most used keys,keys
"""  Listen, just because it's got a hump in the middle and a left and right hand keyset isn't going to make you a better typist - just more pissed off as your typing accuracy goes into the toilet",keys
"The keys seem to work ok from that distance, but the trackpad is very laggy at about 5M - 6M away",keys
Now I don't even have an on/off keyboard light for either of those keys,keys
", as well as a few programmable Function keys to search, go to the desktop, etc",keys
"A nice feel, comfortable layout, I suppose I must admit I'd prefer better keys as I like a quality laptop type keyset than traditional desktop keys",keys
"The letters have worn off three keys and are well on their way to ""blank"" on others",keys
I am still using it and the lettering on the keys is still visible,keys
"What I really dislike about it is they changed the standard keys for Insert, delete, home, end, page up and page down key section",keys
") and resetting all the programmable keys to defaults, not like that would probably solve the problem, and of course the errors still occur",keys
The arrow keys are in their own T cluster and the media controls are useful,keys
It has laptop style keys and is a joy to work on,keys
"How ergonomic is a keyboard that requires 5x the amount of force to push down the space bar as the other keys? [is, requires, push] [ergonomic, other]
",keys
"The regular keys are not bad, but after 6 weeks with the spacebar, I'm getting rid of it",keys
"The design is nice, small, compact, full keyboard, the keys aren't too small, and it lights up for use in dark spaces",keys
"Unfortunately, the keys on this model, particularly the space key, are too stiff",keys
I had seen complaints about the stiff keys in other reviews but was hoping this was not a universal problem,keys
But the keyboard itself has a cheap feel to it (much cheaper than the Dell keyboard I was using) and the keys are a bit mushy,keys
"No problems with battery life, and the light-up keys are a great addition",keys
"The space bar is still a little stiff and noisy, but the other keys are awesome",keys
"Further, I would have really liked a sleep key (to put the computer to sleep), an easier-to-use Windows key, more keys such as Delete, and more F-keys",keys
"Very attractive piece of hardware, definitely massive looking but it fits my desk space fine, easy installation with the latest Intellipoint software, absolutely quiet keys when pressed but that's where the niceties end",keys
"We popped the keys off to see if something had fallen under the key and to see if something had been spilt on it, but nothing was apparent",keys
"Much of the functionality of this model is also present on the Digital Media Pro model (hot keys, zoom, ""favorites"" buttons, etc",keys
"But straight away, it felt really cheap, and looked that way, too, what with the shiny little character decals on the matte-black keys",keys
"Pluses:  Best feeling wrist rest, ergonomically designed reverse angle, the zoom rocker and back/forward keys",keys
"Design-wise it is on the right track, the wrists are less pronated because of the angle of the keys",keys
I'm constantly typing gibberish because my fingers are on the wrong keys,keys
"It then started to cause Firefox to open new windows and tabs spontaneously, first with every 30-40 keystrokes, then in increasing frequency until it would no longer type, but pretty much only open Firefox tabs",keys
"This keyboard is very comfortable, and the letter keys are well spaced out and whisper quiet - perfect",keys
"Pros: * Backlit keys * Mouse pad that works in both orientations * rechargable * very small and portable * useless laser pointer (maybe a con also as the kids might shoot each other in the face with it) * fairly cheap Cons: - limited range, like 10 feet at best - mine wont connect using the extension cable, must plug directly into machine",keys
"I attributed this to the unusual wave design of the key layout which is supposed to promote stress free typing, which is does -- but while promoting a bad style of typing preventing the keyboard user from typing all other keys! [attributed, is, supposed, promote, is, does, promoting, typing, preventing, typing] [unusual, key, free, bad, other]
",keys
"The Unicomp keyboard has a raised stepping for it's keys, providing more spacing for those of us with muscles in our hands",keys
"In brief, it took me weeks to relearn how to properly type so I could type numbers and other characters using META and Shift keys! [took, relearn, using, keys] [other]
",keys
"The keys on this keyboard don't ""snap back"" like some of the better keyboards do when you press them down",keys
"In general this is a good keyboard: * comfortable wrist pads * excellent ergonomic positioning of the keys * plug and play in windows 7 - I did not install the software that came with keyboard and all the keys I ever use work without it (including volume up/down, play/pause etc",keys
"From the pictures it looks like the same, poor placement of the ""6"" key that Microsoft continues in all of their ""ergonomic"" keyboards that have a small separation between the left and right handed keys",keys
The overall keyboard feels smooth and the keys are easier to use than a square keyboard,keys
"Other keys on the Microsoft ""product"" also gummy now",keys
Features are great including new keys introduced above keypad and soft handrest,keys
You just wouldn't expect hot spots on keys and the spacebar has hot spots and cold spots,keys
As with nearly al other home theater keyboards I which it had a backlight so I can see the keys in a dark home theater setting,keys
"The keys have a decent feel, although I prefer either the old IBM click keys or even Apple's keyboards, which are softer but still offer tactile feedback",keys
"I have enjoyed the specialty keys, though, particularly the mute/volume keys",keys
"Lots of the custom keys go unused, though, because the software to assign them isn't all that flexible",keys
I'm a Natural Keyboard fan and like the placement of the keys,keys
"Typing is no problem, but the smaller sized Function and arrow keys make it difficult to quickly execute a command or navigate around the page",keys
I prefer the keys on original MS Natural Keyboard,keys
"The only aspect that is really, really annoying is the arrangement of the 4 arrow keys (LEFT, RIGHT, UP, DOWN)-- the separate arrow keys that are not embedded in the number pad",keys
"Since the keys(especially spacebar) are pretty tight even compared to regular non-ergo keyboards, it increased the intensity and frequency of the pain I experienced earlier",keys
"I work with numbers so the four keys that are above the numeric keyboard are very useful for me, as well as the calculator button",keys
"A built in lithium-ion battery is rechargeable through a USB cable;  back lit, the keys are clearly visible at night or in a darkened room",keys
"The keys, while of adequate size and nicely convexly shaped, require quite a bit of pressure to register a key stroke causing a necessary carefulness, slowing input considerably",keys
"However, these soft keys aren't bad, just not as good as the springy ones",keys
"The rest of the keyboard is fine, and the formerly afflicted keys function correctly when another keyboard is plugged in",keys
"What's worse, some, but possibly not all, of your keystrokes may get buffered and sent later, which can be extremely frustrating for gamers and the like",keys
"I've found that the ""silk screening"" on many of the keys wears off - A, S, D, F, E for example",keys
"I'm a big fan of the 'extra' keys across the top, and got used to the media keys on my Kensington keyboard (FF/R)",keys
"However, like many others have noted, the key layout of the arrow keys, the 6 keys above them, and the function keys (F1 - F12) are not the standard size/shape",keys
"I use them so much the keys develop a shiny, smooth surface (in other words, the slightly nubby texture gets worn off)",keys
"Without drivers, the only way I use keyboards- and mice, all the grey feature keys function as expected except those numbered one through five and the star key below that group",keys
"Sure I could have used S-Spline graphics software to enhance the relatively tine fully sized image, but I expect a full sized, especially natural keyboard, to sport TWO Windows Flag keys",keys
"If that is not an issue, and you require neither key tap resistance, nor key tap click feedback then you will be happy with this natural keyboard -- the additional 'curve' of the keys offered no challenge to me already familiar with microsoft natural keyboards,  I appreciate the 'front loaded' height of the keyboard, but the padding leaves much to be desired",keys
"There is also a series of special function keys that allow you to access mail, calculator, web browser home page, etc",keys
Then there's the distractingly inconsistent touch and sound of the Comfort Curve's keys,keys
"Worse still, the paint has rubbed off many of the keys",keys
"The arrow keys are not in the same layout as the standard keyboard, and the 6 keys above them 3x2 instead of 2x3",keys
"I'd use a newer model of it, but they also ruined the layout when they added the shift feature to the function keys",keys
"Would have been fine if the default was for the function keys, but no, they made it for the others, which have always been shortcuts on your keyboard anyway",keys
"If your a touch typist and use all your fingers and don't look at the keys it's fine once you get used to the hump in the middle of the key board, but I can type faster with two or three fingers than I can with nine",keys
"Keyboard has a nice feel to it, nice feedback from the keys",keys
"Undaunted, I tried another, the second board was slightly better in that all the keys seemed to work",keys
The keys - especially the space bar - require far more force to use that my previous keyboard,keys
"Of course, the split keys are OK",keys
"It is also quite low profile which would be alright except that there is only about an inch of plastic to try to rest your hands on below the bottom row of keys, which means that your hands are sitting on the desk as you try to type",keys
"The arrow keys are much more difficult to use than the standard, well-designed inverted T layout",keys
"While your fingers rested comfortably on the bottom row of arrow keys in the old layout, in the new your fingers don't really fit at all--you can only put two fingers on at once, and you need to move them in awkward ways to switch to the up and down keys from the left and right keys",keys
"Why move the keys around into a LESS useful layout? [move] [useful]
",keys
"If you're like me and you end up typing on lots of different keyboards, AND you use the arrow keys a lot to navigate, it turns out to be quite painful to switch back and forth between the different layouts",keys
"Media control keys should be switched with Function Keys, I'm sure people will be using the play/pause button more often than F7",keys
"Range is good, about what is advertized, but I have found that if there is something/someone between keyboard and receiver than its about 50% on keystroke accuracy",keys
With a clear line of sight I would but keystroke accuracy at about 90% Final Thoughts: I am very happy with the price/product,keys
The right shift key seemed to have been made poorly b/c it was much louder and had a different pitch than the other keys,keys
"I have owned this keyboard for 4 days now, I loved it at first, lightweight comfortable to use, the keys aren't loud when you're typing and then tonight I began having problems",keys
"Everything about it is good in principle:  the keys are big enough to easily press, light up nicely in the dark, and are still small enough to fit in something the size of a normal remote",keys
"The main thing I've been looking for in a new ergonomic keyboard is the correct setup for the arrow keys, with left, down, and right in a straight row, and up right above down (follow that? ['ve, been, looking, is, left, follow] [main, new, ergonomic, correct, straight]
",keys
All the keys have a fairly consistent feel and are quiet,keys
"I preferred the utility button layout of the older Natural Keyboard Pro, and rather wish the function keys had their normal functions on the top (F1, F2, etc",keys
