,review,Aspect,preds
40,"Ergo: The shape of the keyboard and placement of keys (other than spacebar), is pretty darn comfortable Keyboard noise/response: Doesn't make too much noise which is good(but neither does it feel rock solid",spacebar,"spacebar), is pretty darn comfortable "
41,This keyboard seems to drop keystrokes (particularly the spacebar) and there is no known workaround,spacebar,drop keystrokes 
42,"Aside from a slightly different keyboard layout which I'll have to get used to, I'm much happier with that keyboard -- no problems with the spacebar, very responsive keyboard, and no stiff keys aside from the function keys",spacebar,stiff keys 
43,The spacebar key is springloaded in the middle and if you hit the key on the ends it is a little hard to press down,spacebar,spacebar key is springloaded 
44,"Edit: ----- I have this keyboard at office now, the spacebar is working much better on that (it could be better though)",spacebar,spacebar is working much better 
45,"
",spacebar,
46,I was looking for a keyboard with backlighted keys,keys,backlighted keys 
47,"I received it and it is NOT visible in poor lighting, despite the claim of the big white lettered keys! [received, is, lettered] [visible, poor, big, white]
",keys,big white lettered keys 
48,"The keys work smoothly and have some hot keys, however I will never use some of them on the Mac so I cannot comment on the keyboard's full potential",keys,keys work smoothly 
49,"Was really excited about having a compact keyboard with backlit keys for my home media center, but the range proved to be a problem",keys,range proved to be a problem 
50,It has been widely reported and I will confirm: The N key is wider than the other keys (to fill in space) and the mechanical trigger for the key is in the center rather than towards the right where you typically hit the key,keys,key is wider 
51,"The media keys at the top are nice, and you can customize them a fair bit when you install the Intellikey software",keys,keys at the top are nice 
52,"MS keyboards (especially this one) are very wide and use a ton of space to the right of the arrow keys, mainly for the number pad",keys,space to the right of the arrow keys 
53,The keys feel nice and are pretty quiet,keys,keys feel nice 
54,"I like that you can create your own shortcuts for each of the top function keys, and the zoom and back/forward buttons are nice to have (though the back/forward buttons are too far down and my mouse already has those)",keys,button are too far down 
55,The page up and down keys use to be by themselves and now have an insert key right next to them which is annoying,keys,keys use to be by themselves 
56,You need really big hands and really long fingers to be able to reach all the number keys,keys,big hands 
57,"Well, to my surprise, it does take an unexpectedly strong stroke to get a space compared to the other keys",keys,strong stroke 
58,"I was typing on a phone call and I realized that it was literally difficult to hear my colleague over the ""din"" of my keystrokes",keys,"difficult to hear my colleague over the ""din"" of my keystrokes "
59,"As a programmer, I can't stand that they changed the layout of the center row (ins, del, pgup, pgdn), slowing me down considerably, as well as the arrow keys (too small &amp; awkward)",keys,keys (too small &amp; awkward)
60,"Pros: - perfect ergonomics - nice leather wrist padding Cons: - noisy spacebar - spacebar presses harder then letter keys - F-keys devided into two groups, while classically it should be three - a bit large Could be perfect without issue with spacebar",keys,spacebar presses harder 
61,This was so they could squeeze in the up/down/left/right arrow keys into the layout they wanted,keys,squeeze in the up/down/left/right arrow keys 
62,"Will someone inform this keyboard manufacturer that directional keys are very rarely used, but the shift key is used QUITE OFTEN",keys,keys are very rarely used 
63,"The noise was exacerbated by the fact that the other keys are remarkably quiet, so the sound becomes even more annoying",keys,keys are remarkably quiet 
64,"And worst, the layout of the other keys outside of the main qwerty area of the keyboard, specifically the cursor key, is just a terrible layout for anyone who has used a keyboard regularly at any time in the past 40 years",keys,layout of the other keys 
65,"As stated in many of the other reviews, the displacement of the arrow keys and the 6 navigation keys is VERY unnerving",keys,keys is VERY unnerving 
66,It has all the necessary short cut keys and was easy to set up,keys,short cut keys 
67,Full-size keys are easy to press,keys,keys are easy to press 
68,The keys are responsive and types just fine,keys,keys are responsive 
69,I have average sized hands and I always felt like I had to stretch to reach the number and function keys,keys,stretch to reach the number 
70,It was a really stupid feature to overload the function keys with yet another key,keys,overload the function keys 
71,"Misses too many keystrokes, and the buttons are laid out in a perfect smashed grid, so you won't be able to type as fast",keys,button are laid out in a perfect smashed grid 
72,"Has some but not all ""F"" keys and a dedicated Ctrl+Alt+Del key Cons: Placement of the touchpad is OK but seems to hinder your typing some, Touchpad not very responsive with sensitivity all the way up",keys,Touchpad not very responsive 
73,"Certain keys (2, 4, T and some others) simply don't work any more",keys,"keys (2, 4, T and some others) simply don't work "
74,Fortunately I prefer to use the arrow keys and enter inside Boxee so really it ends up being a non-issue,keys,keys and enter inside Boxee 
75,I do not know if this is a function of whatever they are using to put white print on black keys or just cheap junk manufacturing,keys,put white print on black keys 
76,It's disappointing that something so simple could limit the usable life of a keyboard (without buying some stickers to put on top of the naked keys,keys,limit the usable life of a keyboard 
77,The F-keys are convex and even stiffer,keys,F-keys are convex 
78,"The volume controls and extra function keys are nice, but I wish it wasn't so big and bulky",keys,keys are nice 
79,"First, the good: keypress sounds are quiet, the weird key shapes did a very good job of making it easier for my hands to each the keys on each side, and installation was flawless (I didn't even have to install the software)",keys,weird key shapes 
80,The same thing holds for several other keys,keys,keys the same thing 
81,It will then relay anywhere from none to all of the keystrokes in rapid succession to the computer (resulting in it spazzing out for a few seconds as it does the things you told it to,keys,keystrokes in rapid succession 
82,"And if you like your keys to have a little bounce to them, you will likely be disappointed by this keyboard as well",keys,bounce to them 
83,The programmable keys are a nice feature,keys,keys are a nice feature 
84,#NAME?,keys,#NAME?
85,"- Finally, I liked the placement of an extra set of EQUAL, PARENTHESIS and BACKSPACE at the top right corner (especially the parenthesis, I always hated finding the opening and closing one among the numbers) Now, THE BAD: - For some reason the ENTER and RIGHT SHIFT keys are too small! [liked, hated, finding, closing, are] [extra, top, small]
",keys,keys are too small 
86,"I could do with regular sized ""H"" and ""N"" keys if it would mean not hunting the ENTER",keys,keys if it would mean not hunting 
87,"<p>But, if you are a touch-typist and your fingers already know where the keys are supposed to be, then you'll be greatly disappointed and/or frustrated with this Natural Keyboard Elite",keys,keys are supposed to be.
88,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",keys,squished-together arrow keys 
89,"The only great thing this board has going for it is the slight curve of the keys, though it is hardly noticeable, unlike the split ergonomic boards",keys,slight curve of the keys 
90,"All (home, arrows, etc) keys are in a very standard layout for a full-size keyboard",keys,keys are in a very standard layout 
91,"It was almost a better keyboard than all the rest, BUT - It is less bent than the earlier natural keyboards - - - unless you are tiny, your wrists won't be straight - the home-end-pgup-pgdn key group are changed again - - - back to 2 rows of 3 keys - - - if you just relearned the 3 rows of 2 keys layout, this is really bad - the left corner of the wrist rest is cut way too close - - - if you have big hands the edge digs into your hand - miserable! [was, is, are, be, are, changed, relearned, is, left, is, cut, have, digs] [better, bent, earlier, natural, tiny, straight, key, bad, close, big, miserable]
",keys,"keys layout, this is really bad "
92,"There are lots of bells and whistles such as programmable keys and the sort, but these are more of a gimmick than anything else",keys,gimmicks 
93,"The key response and placement are ok, but it's easy to mistype because of the angle of the keys",keys,easy to mistype 
94,The keys were very quiet and smooth,keys,keys were very quiet 
95,It had many convenient shortcut keys which I could reprogram for my own custom purpose,keys,shortcut keys which I could reprogram 
96,The reason for this appears to be that there is not one solid plastic piece under the keys,keys,not one solid plastic piece under the keys 
97,"If you remove some keys, you can see the contacts inside, so if you get a little bit of water on it, it will drip straight down and ruin the entire thing",keys,"keys, you can see the contacts "
98,Someone suggested removing all the keys and spraying some rubbing alcohol down there to help any excess water evaporate out,keys,rubbing alcohol down there to help any excess water 
99,"Second, it looks like Microsoft decided that since the keyboard was split and that they had extra room, they would change the size of a few lettered keys towards the middle so they are twice the size of a normal key! [looks, decided, was, split, had, change, are] [extra, few, lettered, middle, normal]
",keys,size of a few lettered keys 
100,The large hot keys at the top of the keyboard are a nice touch,keys,keys at the top of the keyboard are a nice touch 
101,"I had an older version of this keyboard, and the keys on the old keyboard are closer together, or for some reason, just easier to depress",keys,keys on the old keyboard are closer together 
102,"it's a pity, they didn't take a lesson on how to make keys from the old IBM keyboards from early 1980's",keys,they didn't take a lesson 
103,Buy an ergonomic keyboard with standard-sized and configured arrow keys,keys,keyboard with standard-sized and configured arrow keys 
104,"MS did some things right: It's in black (gone are the days of the beige box), power user keys a re included, the keyboard now has a base tilt, and finally rest pad",keys,keyboard now has a base tilt 
105,"The right windows key (between the ""alt"" and ""menu"" hot-keys in line with the space bar) is now gone",keys,"""menu"" hot-keys in line with the space bar "
106,The function keys now have presets (optional) 4,keys,keys now have (optional) 
107,"There are now silver hot keys at the top for 5 programmable functions and several other keys for standard windows functions such as e-mail, home directory, zoom, mute, increase/decrease volume, play/pause, and calculator 5",keys,keys at the top have now silver hot keys 
108,"The keys had just the right feel, and the quality was excellent",keys,keys had just the right feel 
109,"If you look closely at the arrow keys, ""Insert"", ""Home"", ""Delete"", and ""End"" keys you will see that the keys are smaller and arranged differently than a standard keyboard",keys,keys are smaller and arranged differently 
110,The numeric key pad and the regular typewriter keys are fine,keys,keys are fine 
111,That keyboard's been through hell and is really showing its age in the form of lots of friction and loud keys,keys,loud keyboard 
112,The keys are reasonably quiet,keys,keys are reasonably quiet 
113,"I felt like it needed more tilt and angle to the keys, but otherwise was a reasonable keyboard",keys,needed more tilt and angle to the keys 
114,I do wish they had kept the editing keys and dispensed with the num pad altogether so that the keyboard wouldn't take up so much desk space,keys,dispensed with the num pad 
115,"I simply could not find the break, but there definitely was one in the flex circuit because all the other keys worked",keys,keys worked 
116,"pros: Decent product, works, has plenty of hot keys",keys,has plenty of hot keys 
117,I have both the old kind (arrow keys in an inverted-T shape) and a new kind (arrow keys in a cross pattern) This keyboard had inherent problems with Windows NT 4,keys,keys in an inverted-T shape 
118,I like keys that have a consistent feedback,keys,keys that have a consistent feedback 
119,"A keyboard has its first use: be good and efficient in hitting those keys - all the other stuff is secondary! [has, be, hitting, is] [first, good, efficient, other, secondary]
",keys,hitting those keys 
120,"Partly because I was trained on IBM selectrics and manual typewriters that belonged to my grandparents, and partly because I'm a classically trained cellist, my fingers slam into those keys fast and hard",keys,slam into those keys 
121,Since the ergonomic keyboards are shaped in a wave form (of sorts) there is a nominal communication from the keys that one has indeed typed that letter,keys,keys that one has indeed typed 
122,Number one annoyance:  The Caps Lock key is placed so closely to the Tab and Shift keys that I am forever grumbling at this machine as I accidentally hit the Caps Lock key instead of Shift or Tab,keys,hit the Caps Lock key 
123,"When you first get this keyboard (especially new builds, 2011) their keys are soft and quiet and it's the best keyboard there is",keys,keys are soft and quiet 
124,"Some terrible things about the product (when compared to the Chinese iPazzPort, which is likely a knockoff of the Rii that has other features added): * The mouse is not multi-touch * There are no page-up/page-down keys that can be accessed without also holding down the ""function"" key (compared to the iPazzPort which has a page up/down rocker on the side of the device next to the laser pointer switch) * The laser pointer is very weak compared to the iPazzPort * The laser pointer requires the radio to be turned on * The F-keys are the default; you have to use the function+Fkey combination to access things like volume up/down",keys,no page-up/down rocker 
125,"Because the F keys can be activated without a key combination, they can be combined with modifiers (like ALT) which makes application hot keys (e",keys,keys can be activated without a key combination 
126,"Finally, there are nubs on the F and J keys to allow for finding the home row in the dark (although the blue backlighting (compare to orange with the iPazzPort) is easy to activate)",keys,keys to allow for finding the home row in the dark 
127,I was also happy to find that Windows multimedia keys were included on the keyboard,keys,keys were included on the keyboard 
128,"I am an average-sized woman at 5'5"", and have relatively long fingers, but the reach on this keyboard from the home keys to the Q/Tab or backspace/enter was absurdly and uncomfortably far",keys,reach on this keyboard was absurdly and uncomfortably far 
129,"Although all of the keys worked on the second keyboard, they still felt really stiff (especially the space bar), making for a very unpleasant typing experience",keys,keys worked on the second keyboard 
130,"Extra F keys (Fn+1=F9, Fn+2=F10, Fn+3=F11, and Fn+4=F12) 3) Sometimes capslock get reversed I'm not sure why it happens but to go back to normal with caps on switch keyboard off the back on",keys,capslock get reversed 
131,All the other keys were soft and easy to type,keys,keys were soft 
132,"It just doesn't have the extra keys like calculator, volume control, etc",keys,doesn't have the extra keys 
133,"Elite also has smaller keys for the arrow keys, the page up/down, home/end, and delete/insert keys",keys,smaller keys 
134,"Much as I like the subtly curved design and the widening keys, the power shortcut keys, they're of no use to me when it repetedly breaks down",keys,"keys, they're of no use "
135,"The mechanisms don't seem to be built for larger keys, so you have to find sweet spots in keys like CTRL and the space bar, or else you're just bending plastic without registering a keystroke",keys,keys don't seem to be built for larger keys 
136,"On OS X, IntelliType is required if you want to swap the CTRL, ALT, and Windows keys to represent CTRL, Option, and Command keys on a standard Mac keyboard",keys,keys to represent 
137,"other than that, just hate that microsoft messed up on the keycodes for the zoom keys",keys,messed up on the keycodes 
138,It will lock-up and have my character running in some random direction no matter which keys I hit after that,keys,random direction 
139,Extra keys above number pad are useful and make sense,keys,keys above number pad are useful 
140,HOME END BLOCK and Arrow keys maintain their usual shape which is good,keys,keys maintain their usual shape 
141,'Back' and 'Forward' keys not real keyboard keys and they stick,keys,keys not real keyboard keys 
142,"The 'back' and 'forward' should be replace with real keys that can be programmed to something useful to the user like backspace, enter, cntl, cmd or windows key",keys,'back' and 'forward' should be replace with real keys 
143,This would hopefully reduce the need to constantly use ones little fingers to hit these important keys with out freaking of users that want to maintain as much normalcy as possible,keys,hit these important keys 
144,"I like the special keys for Zoom, Back, Forward, Calculator, - () backspace",keys,"keys for Zoom, Back, Forward, Calculator, - () backspace"
145,When typing the main keys you are fine and this definitely has a much more ergonomic feel than other keyboards I have tested over the years,keys,keys you are fine 
146,As for the non-ergonomic aspect of the keyboard there are plenty of keys along the top of the keyboard that can be programmed to limit the amount of times one has to use a mouse,keys,keys along the top of the keyboard that can be programmed to limit 
147,The keys have a good feel,keys,keys have a good feel 
148,"Also,  the space bar requires much more push than the rest of the keys",keys,space bar requires much more push 
149,"Pros: - nice compact size for thumb typing on the couch - good battery life and recharge-ability via USB - up/down left/right keys nice for navigating WMC and XBMC - back-lit keys for dark rooms Cons: - not durable at all (don't let it fall) - laser pointer feature useless for my application of this product (might be okay for PowerPoint slide viewing on a projector screen) - very limited RF receiver to keyboard range - has to have very unobstructed line of sight or typing/mousing functionality will be severely impacted - very bad placement of left/right mouse click buttons (after using this product I can say the ideal place for these would be in the upper left-hand corner ; thank you for this lesson FAVI as I will keep it in mind while I'm searching for your product's replacement) This was my first attempt at the ultimate HTPC keyboard/mouse, and after using it, I can say this product was good at pointing out all the flaws of these types of devices in today's market",keys,limited RF receiver to keyboard range 
150,It is the most comfortable keyboard I've ever used because of the curved layout and the super soft keys,keys,curved layout 
151,"I ultimately chose it for ergonomics, and it's insert/home/delete/end configuration, which was very important to me, because I use those keys constantly too",keys,keys constantly 
152,"The first is that sometimes it will lose signal for 5-10 second, after which time all the keystrokes you make may or may not appear at once",keys,lose signal 
153,"really, i found most of the hot keys MS decided to put on the keyboard not very usefull: mail, search, home, calculator and then 5 custom keys",keys,keys MS decided to put on the keyboard not very usefull 
154,"it has media keys that do work with the mac; but it's missing a very important ""next track"" and somewhat less important ""prev track""",keys,keys that do work 
155,"the keys on the apple keyboard are very nice: short action, soft touch, tactile feedback",keys,keys on the apple keyboard are very nice 
156,"of course, the predefined hotkeys on the apple keyboard suit my mac better: expose, dashboard, and a full set of itunes controls",keys,the keys are better 
157,"It's a great, lightweight, quiet design and has just the right amount of ""extra"" keys",keys,"has just the right amount of ""extra"" keys "
158,So maybe I guess I just bought a faulty one; surely Microsoft does not make and entire model of keyboard where the keys malfunction after only a few months,keys,keys malfunction 
159,"All keys (including left and right click under the touchpad), backlight, and laser pointer still work",keys,"keys (including left and right click under the touchpad), backlight "
160,I have Dell keyboards that after 10 years the labels on the keys are just fine,keys,keys are just fine 
161,"The keys have a nice tactile feel; nothing outstanding, but it feels better than many keyboards I have used",keys,keys have a nice tactile feel 
162,"Even then, even if you mashed some keys on your keyboard at the same time you woke up your mouse, they keyboard will take longer",keys,mashed some keys 
163,The spacebar works and the keys are softer but by no means too soft,keys,keys are softer 
164,"Thing is, it's a windows keyboard so even though it uses a USB, none of the internet keys work with the imac, with the exception of the volume control, and that's disappointing",keys,keys work with the imac 
165,The keys are in decent places,keys,keys are in decent places 
166,"For one, people say the keys are quite easy to press, it is, slightly",keys,keys are quite easy to press 
167,The wireless optical pro kit that has a ergo keybord like this is much softer meaning all you have to do is slightly tap the keys and you're good to go,keys,tap the keys 
168,"It's compact, has a full keyboard with a logical layout of keys, has an effective touchpad with a scrolling zone on the right side, and has great backlighting and battery life",keys,touchpad with a scrolling zone 
169,On rare occasions this happens with other keys as well,keys,keys that break 
170,"If you set the keyboard down flat, most keyboards the keys will sit pretty close to flat from the row with the numbers on it to the row with the space bar on it",keys,keys will sit pretty close to flat 
171,"I just use it to do my work and paper typing, but the unacceptable thing is that several keys' ""life expectancy"" is too short",keys,"keys' ""life expectancy"" is too short "
172,"It's completely unusable in games: Nothing brings you out of gaming annoys you quite like your keyboard simply stopping working for 5-10 seconds at a time, and THEN sending all those keystrokes at once",keys,keyboard simply stopping working 
173,I am using this keyboard on the mac - i was able to program the keys all ok - took some doing,keys,program the keys all ok 
174,"The touch of the keys is soft and comfy, the ergonomic design is brilliant and requires little adjustment, but the space bar  sticks and clacks",keys,space bar sticks 
175,The keys are easy to use,keys,keys are easy to use 
176,So if you're thinking that you text fast & this wouldn't be a problem consider the inch of dead space between your thumb & the keys,keys,dead space between your thumb & the keys 
177,These may seem like minor quibbles to some of you -- but they preclude the possibility of hitting these keys without looking at them,keys,preclude the possibility of hitting these keys 
178,"This does not have a full sized keyboard, and while I thought I might be able to live with it anyway, my hands are too large and I'm too used to a full sized keyboard to get my fingers to hit the correct keys, even when concentrating",keys,hit the correct keys 
179,"The right shift key, in particular, is a real problem because Logitech replaces the full sized key with two smaller keys: Shift and Enter",keys,keys are a real problem 
180,"Pros: Installs easily, Small size, good battery life, keys work well",keys,keys work 
181,"The slight curve design has alleviated a great deal of pain on my wrists and the shortcut keys are great for fast access to the email, web, etc",keys,slight curve design 
182,"The curve and the size of some of the keys, however, make it not optimal for the small-handed, such as myself",keys,size of some of the keys 
183,Alt-f4 doesn't work because Microsoft remapped the keys on this keyboard so the keyboard's shortcuts don't work the same way as the Windows operating system,keys,keys don't work 
184,On almost every occasion I would have to hit one of my password characters twice and at same time double check the screen so I didn't miss type or type extra keys,keys,hit one of my password characters twice 
185,"Still, it was VERY difficult to reach the upper keys, even after I got used to the split keyboard",keys,difficult to reach the upper keys 
186,"I use some of the extra keys, for example, I use the sound volume and muting functions frequently, as well as the calculator button",keys,muting functions 
187,"Because I use a 4-key trackball, I have no use for the browsing keys",keys,no use for the browsing keys 
188,"Also, there is no way of having indication of when caps/scroll lock/numlock keys are on/off, which is stupid because my very old S510 told me on-screen through the SetPoint software- which **should** work with this combo also, but it doesn't",keys,keys are on/off 
189,"So if you get this then forget having any extra adjustments or on-screen displays for volume, lock keys, etc",keys,on-screen displays for volume 
190,"I will say neither the kbd or mouse ever missed a keystroke or click, but most any keyboard can do that",keys,missed a keystroke 
191,"I was glad for the function keys, since this is replacing one of those wired Dell multimedia keyboards with the round volume control knobs (which I really liked)",keys,round volume control knobs 
192,The keys themsleves have a great tactile feel and are very quiet - exaclty what I was looking for,keys,keys themsleves have a great tactile feel 
193,"Any time I would press certain keys (E, C, X, Enter, Delete), the thing would go haywire and press all kinds of random characters and cause general chaos in both my Windows XP and Mac OS X machines",keys,press all kinds of random characters 
194,It always happened when I would press a key (such as the arrow keys) in rapid succession,keys,press a key 
195,"I'm largely happy with this keyboard but will note several caveats: * The media keys do not provide next/previous track keys * The elevating skirt to raise the front edge of the keyboard is awkward to add/remove and is cheaply constructed * The keys are quite responsive but are a bit louder than I think they need to be, particularly the spacebar Ergonomically this is the most comfortable keyboard I've ever used",keys,keys do not provide next/previous track keys 
196,My previous keyboard had a solid feel and the keys were very responsive,keys,keys were very responsive 
197,"I bought a 4000 in December,and now, less than eight months later, I can't see five letter keys or the period, and some of the other letters are shrinking as parts of them disappear",keys,can't see five letter keys 
198,In this case the arrow keys are not in their normal positions,keys,keys are not in their normal positions 
199,"It's a comfortable keyboard to use, and the extras like the volume buttons and other shortcut keys are nice, but the workmanship and quality is just lousy",keys,quality is just lousy 
200,"The arrangement of the Home/Page Up/Page Dn/End/Delete/Insert and arrow keys may allow the keyboard to fit in trays, but otherwise it is insane",keys,keys may allow the keyboard to fit 
201,I never realized how much I use those keys until I was swearing at this keyboard,keys,keys until I was swearing 
202,"There are no dedicated Media Center buttons, but rather Function keys that are assigned to Media Center commands like fast forward",keys,keys that are assigned to Media Center commands 
203,It's quite disappointing to see Microsoft not bothering to fix this one glaring issue on one of the most used keys,keys,glaring issue on one of the most used keys 
204,"""  Listen, just because it's got a hump in the middle and a left and right hand keyset isn't going to make you a better typist - just more pissed off as your typing accuracy goes into the toilet",keys,keyset isn't going to make you a better typist 
205,"The keys seem to work ok from that distance, but the trackpad is very laggy at about 5M - 6M away",keys,trackpad is very laggy 
206,Now I don't even have an on/off keyboard light for either of those keys,keys,don't even have an on/off keyboard light 
207,", as well as a few programmable Function keys to search, go to the desktop, etc",keys,keys to search 
208,"A nice feel, comfortable layout, I suppose I must admit I'd prefer better keys as I like a quality laptop type keyset than traditional desktop keys",keys,better keys 
209,"The letters have worn off three keys and are well on their way to ""blank"" on others",keys,keys have worn off 
210,I am still using it and the lettering on the keys is still visible,keys,keys is still visible 
211,"What I really dislike about it is they changed the standard keys for Insert, delete, home, end, page up and page down key section",keys,changed the standard keys 
212,") and resetting all the programmable keys to defaults, not like that would probably solve the problem, and of course the errors still occur",keys,resetting all the programmable keys 
213,The arrow keys are in their own T cluster and the media controls are useful,keys,keys are in their own T cluster 
214,It has laptop style keys and is a joy to work on,keys,keys and is a joy to work on 
215,"How ergonomic is a keyboard that requires 5x the amount of force to push down the space bar as the other keys? [is, requires, push] [ergonomic, other]
",keys,push down the space bar 
216,"The regular keys are not bad, but after 6 weeks with the spacebar, I'm getting rid of it",keys,"spacebar, I'm getting rid of it "
217,"The design is nice, small, compact, full keyboard, the keys aren't too small, and it lights up for use in dark spaces",keys,keys aren't too small 
218,"Unfortunately, the keys on this model, particularly the space key, are too stiff",keys,"keys on this model, particularly the space key, are too stiff "
219,I had seen complaints about the stiff keys in other reviews but was hoping this was not a universal problem,keys,stiff keys 
220,But the keyboard itself has a cheap feel to it (much cheaper than the Dell keyboard I was using) and the keys are a bit mushy,keys,keys are a bit mushy 
221,"No problems with battery life, and the light-up keys are a great addition",keys,keys are a great addition 
222,"The space bar is still a little stiff and noisy, but the other keys are awesome",keys,keys are awesome 
223,"Further, I would have really liked a sleep key (to put the computer to sleep), an easier-to-use Windows key, more keys such as Delete, and more F-keys",keys,I would have really liked a sleep key 
224,"Very attractive piece of hardware, definitely massive looking but it fits my desk space fine, easy installation with the latest Intellipoint software, absolutely quiet keys when pressed but that's where the niceties end",keys,quiet keys 
225,"We popped the keys off to see if something had fallen under the key and to see if something had been spilt on it, but nothing was apparent",keys,fell under the key 
226,"Much of the functionality of this model is also present on the Digital Media Pro model (hot keys, zoom, ""favorites"" buttons, etc",keys,"keys, zoom, ""s"" buttons "
227,"But straight away, it felt really cheap, and looked that way, too, what with the shiny little character decals on the matte-black keys",keys,shiny little character decals 
228,"Pluses:  Best feeling wrist rest, ergonomically designed reverse angle, the zoom rocker and back/forward keys",keys,rocker zoomes and back/forward keys 
229,"Design-wise it is on the right track, the wrists are less pronated because of the angle of the keys",keys,wrists are less pronated 
230,I'm constantly typing gibberish because my fingers are on the wrong keys,keys,wrong keys 
