review,span,Aspect
"BUT the spacebar is terrible --much too hard to press, especially from the left and right ends of it, where a touch typist normally would hit it", spacebar is terrible ,spacebar
"Maybe a two-finger ""hunt and peck"" typist wouldn't notice this, but for this touch typist the problematic/defective spacebar is a dealbreaker ", spacebar is a dealbreaker ,spacebar
"I would recommend avoiding this keyboard for one specific reason: the ""sticky"" spacebar "," ""sticky"" spacebar ",spacebar
The most recent one has a very stiff spacebar - something that my other ones have not had, stiff spacebar  ,spacebar
"The other reviewers are right - if the spacebar comes stiff , it really sucks! [are, comes, sucks] [other, right, stiff] ", spacebar comes stiff ,spacebar
"However, the spacebar is massive (and not split in two as it should have been), with the actuator right in the middle", spacebar is massive  ,spacebar
The sticking spacebar makes this keyboard useless , spacebar makes this keyboard useless ,spacebar
The spacebar renders this keyboard unusable , spacebar renders this keyboard unusable ,spacebar
The spacebar in particular becomes very loud as a result of this, spacebar in particular becomes very loud ,spacebar
"I haven't had problems with the spacebar like many others have, though", problems with the spacebar  ,spacebar
"The spacebar is half-responsive , and the tiny little function, arrow and page keys are a nightmare", spacebar is half-responsive ,spacebar
I couldn't hear you over this noisy spacebar , noisy spacebar ,spacebar
 spacebar is hard to press when you actually type, spacebar is hard ,spacebar
"As has been stated, the spacebar is harder to push than other keys and significantly louder", spacebar is harder to push  ,spacebar
"This keyboard has a lot of great features (scroll control, etc) but the spacebar makes this keyboard unusable ", spacebar makes this keyboard unusable ,spacebar
"They keys are incredibly hard to press, and the spacebar is noisy and stiff", spacebar is noisy ,spacebar
"I type all day and there's no way I can use the spacebar without forcibly pressing it down at times so it will make a space, not all the time,but enough times that force me to separate words running together and very very annoying", no way I can use the spacebar  ,spacebar
It's that damn spacebar that's a huge hinderance , spacebar that's a huge hinderance ,spacebar
"This keyboard is enormous, but there is only one giant, loud, sticky spacebar ", sticky spacebar ,spacebar
"The spacebar is so bad , the product is completely unusable for me", spacebar is so bad ,spacebar
"I don't understand the good reviews it got here on Amazon, because reviewers on other sites also claimed to have issues with the spacebar ", issues with the spacebar ,spacebar
It has the loudest spacebar you have ever heard in your life, loudest spacebar  ,spacebar
"the spacebar key is so loud it would surely drive everyone in my office nuts, not to mention myself", spacebar key is so loud ,spacebar
I cannot possibly imagine how the other reviewers use this keyboard - try it and find out just how loud a spacebar can be, loud a spacebar  ,spacebar
"It is really too bad, Microsoft designed the perfect keyboard, then made it useless the spacebar is so obnoxiously loud ", spacebar is so obnoxiously loud ,spacebar
"Loud keys are a serious issue, but I sent this back and exchanged it because of issues with the spacebar ", issues with the spacebar ,spacebar
"I liked having the shortcut keys that reduced the amount of mousing I had to do, but the spacebar was hard to press and the keys felt a little gummy", spacebar was hard to press ,spacebar
"The spacebar that was loose , I popped it back in but it feels like it will wear out fast", spacebar that was loose ,spacebar
"However, the spacebar is difficult to press 30% of the time", spacebar is difficult to press ,spacebar
"However, the keys were sticky and noisy, and the spacebar stuck about every fifth time it was struck", spacebar stuck ,spacebar
The stuck spacebar alone made the keyboard a failure, stuck spacebar ,spacebar
"After returning and replacing the keyboard for the second time, (because of the spacebar) I realized the spacebar has a design flaw ", spacebar has a design flaw ,spacebar
"The major issue with the keyboard is the spacebar , which due to poor design, doesn't always register keypresses when pressed at the edge",  major issue with the keyboard is the spacebar ,spacebar
"The keys are stiff, and the spacebar is agonizingly stiff ", spacebar is agonizingly stiff ,spacebar
"Since the keys(especially spacebar) are pretty tight even compared to regular non-ergo keyboards, it increased the intensity and frequency of the pain I experienced earlier", spacebar) are pretty tight ,spacebar
"And above all, the crappy spacebar was clunky , loud and felt incredibly cheap -- which is ot what I wanted in a quiet keyboard", spacebar was clunky ,spacebar
The spacebar is very stiff and oddly designed,  spacebar is very stiff ,spacebar
"I should also say that my fiance, who has large hands, felt the spacebar was a problem for him as well", spacebar was a problem ,spacebar
"But the spacebar was the real ""sticking"" point that got me to decide to pack it back up today in order to return it"," spacebar was the real ""sticking"" point ",spacebar
The spacebar is particularly loud and clunky, spacebar is particularly loud  ,spacebar
The spacebar on the Ergo is loose and clicks loudly each time I depress it, spacebar on the Ergo is loose ,spacebar
"While the keyboard was super quiet, ergonomic and convenient, after only 2 1/2 weeks, the spacebar started sticking when pressed", spacebar started sticking ,spacebar
) The third keyboard I bought had the same TERRIBLE spacebar , TERRIBLE spacebar ,spacebar
love everything but the spacebar is kind of hard to press and takes decided effort, spacebar is kind of hard to press ,spacebar
The one I got more recently at home has one of the problematic spacebars , problematic spacebars ,spacebar
The spacebar was very noisy - and drove me crazy, spacebar was very noisy ,spacebar
It would be great keyboard if the spacebar problem fixed , spacebar problem fixed ,spacebar
"The spacebar requires an unusual amount of force , compared to the rest of the keypads", spacebar requires an unusual amount of force ,spacebar
"It's frustrating to hit the spacebar and get nothing; and then have to hit it again, harder", hit the spacebar ,spacebar
The spacebar is practically unusable , spacebar is practically unusable ,spacebar
"Unfortunately, like other 1-star reviews, he couldn't stand the hard spacebar ", stand the hard spacebar ,spacebar
"The main keys are fairly quiet, but the spacebar ""clacks"" like a gun going off in comparison"," spacebar ""clacks"" like a gun ",spacebar
I purchased this keyboard a little over 3 months ago and already the letters are coming off the keys and the spacebar sticks , spacebar sticks ,spacebar
The new one made an awful thumping/ click with the spacebar , click with the spacebar ,spacebar
"As often mentioned, the spacebar on this keyboard is stiff and loud", spacebar on this keyboard is stiff ,spacebar
"EDIT: 7/2012 The shift and spacebar keys have developed too much resistance , and it's worsening my already sore tendons", spacebar keys have developed too much resistance ,spacebar
"The spacebar is difficult to press , and once you do press it it tends to autorepeat uncontrollably", spacebar is difficult to press ,spacebar
"* The fourth and assuredly final one, bought as a replacement for the first, had the spacebar key fall off as soon as I took it out of the box", spacebar key fall off ,spacebar
The spacebar is not easy to push down w/ your thumbs, spacebar is not easy to push  ,spacebar
The spacebar is really too stiff ! [is] [stiff] , spacebar is really too stiff ,spacebar
"Pay close attention here: the spacebar is unbelievably stiff , just as another reviewer mentioned", spacebar is unbelievably stiff ,spacebar
The spacebar is stiff in the center and jams when hit at the sides, spacebar is stiff  ,spacebar
"I would need to make a constant conscious effort to keep my thumbs extended, and even then the spacebar would be stiffer than expected", spacebar would be stiffer ,spacebar
"The spacebar is huge and clunky - it makes typing loud, slow and difficult and completely offsets any ergonomic benefits", spacebar is huge ,spacebar
I've found the spacebar key VERY hard to press with the right hand, spacebar key VERY hard  ,spacebar
"However, as some others have mentioned, the spacebar requires a lot of force if you have small hands and cannot press it down in the center", spacebar requires a lot of force ,spacebar
The spacebar takes noise and clunkyness to a whole new level, spacebar takes noise ,spacebar
the same one I bought a few years ago: The keys are much louder on this one and also not as soft to the touch, keys are much louder  ,keys
"Just discovered this, that this keyboard's keys is prone to failure ", keys is prone to failure ,keys
"And she bought a new one, same model, and that too, keys started failing ", keys started failing ,keys
"Of all things about a keyboard, if the keys start to fail , it's the worst", keys start to fail ,keys
Was able to install anyways only to discover that several keys didn't work , keys didn't work ,keys
"Great little device, but a number of the normal keyboard keys are either missing or missing functionality", keys are either missing  ,keys
"The other problem I have with this keyboard is that the ""J"", ""U"", ""H"" keys sometimes do not work ", keys sometimes do not work ,keys
I had to hit those keys harder to ensure those keys work, had to hit those keys harder  ,keys
"As any new keyboard there's a learning curve and it takes a little time to get used to and find the keys, however I still today constantly miss keys nd though I really like some of the other functions am contemplating going back to the ugly cream coloured ergo board", constantly miss keys  ,keys
I'm giving this keyboard one star because ultimately a keyboard primarily needs to have keys that are comfortable for me to use and don't impede my input, needs to have keys that are comfortable for me  ,keys
"I found the keys on this keyboard to be way too ""spongey"", meaning that the keys press down quite a ways then don't spring right back up", keys press down quite a ways  ,keys
"I found myself having to press the keys harder , and that would then slow down the next key press", having to press the keys harder ,keys
"I've owned three of these, and all have at least 2 keys that don't work without having to bang hard on them", keys that don't work  ,keys
"If you spill any amount of liquid on this keyboard whatosoever, individual keys will stop responding within minutes and you'll need a replacement", keys will stop responding  ,keys
"It works (connects easily and every time) and it's nice to have the laptop style trackpad built-in, unfortunately the keys are cramped for serious typing", keys are cramped  ,keys
"On my first one the left Ctrl key, the letter V, and the comma keys all died ", comma keys all died ,keys
"First the keys went ""soft"" where they were visibly sunken down and felt less clicky & springy, and then one day they just no longer worked"," keys went ""soft""  ",keys
"Things you should consider: Microsoft uses an ""F-lock"" key design, where the F keys along the top are not enabled until you hit the F-lock button", keys along the top are not enabled  ,keys
"Just plugging the receiver the keyboard started work right away, which is good, but not with full functionality: the grey function keys at the top are not functional , and the mouse click wheel button is not functional", keys at the top are not functional ,keys
"The keyboard is much smaller (and as a result less ergonomic) - they have managed to do this because the keys are smaller and placed closer together (especially the arrow keys! [is, have, managed, do, are, placed, keys] [smaller, ergonomic, smaller] ", keys are smaller  ,keys
the one i received did not have a sticker on the box and the keys were hard plastic, keys were hard  ,keys
The keys are very slippery and my fingers were constantly sliding off them, keys are very slippery  ,keys
"And if you like to lower the lights while you're browsing the web, you'll be constantly holding the keyboard up to the light because the keys are not backlit ", keys are not backlit ,keys
"The other ""extra"" keys haven't gotten much use yet, but as I ramp up the keyboard's use for work -- and Excel -- I think I'll really like the extra numeric keypad keys (parens and equals)", keys haven't gotten much use  ,keys
"Sadly, even the letter keys are also far too hard to depress", keys are also far too hard  ,keys
but the keys get rubbed off during normal use after only a few months, keys get rubbed off  ,keys
The touchpad is not functional and keys appear to stick or just don't respond at all, keys appear to stick  ,keys
"Now I have 3 defective keyboards because some keys do not register (M, N, Caps are common)", keys do not register  ,keys
"Both Alt, both Ctrl, left Shift, and a whole lot of keys don't work ", keys don't work ,keys
(with 10 days of vacation in the midst) and already four of the keys have the printing nearly worn off , keys have the printing nearly worn off ,keys
"However, I have had multiple times that groups of keys stop working or single keys will hang giving me a string of single key inputs", keys stop working  ,keys
"Alternate on again, off again keys ZXCV and ENTER"," on again, off again keys  ",keys
"I now have the Adesso Tru-Form Media, on which the keys are slightly louder but since the sound is uniform you don't notice it once you get into the rhythm", keys are slightly louder  ,keys
One clue is that the System Profiler claimed to be able to see the device when the USB dongle was plugged in even though the computer stopped responding to keystrokes or the touchpad, stopped responding to keystrokes  ,keys
They keys don't have a good feel ,  keys don't have a good feel ,keys
Certain keys became nonfunctional and the majority of the rest of the keys typed a letter or symbol other than what it was supposed to be, keys became nonfunctional  ,keys
I use the mouse as little as possible and not having the keys where I'm used to them is not a good thing, not having the keys  ,keys
3 days after purchasing this keyboard and a few of the keys stopped working properly ,  keys stopped working properly ,keys
At first most of the keys were jumbled up so whenever I would type something it was displayed wrong on my computer screen for instance if I hit the 6 button on the numeric keypad it would display, keys were jumbled up ,keys
I just wish the keys were a little easier to depress , keys were a little easier to depress ,keys
"Also, occasionally the Function key modifier would get stuck off and the Function keys would no longer work ", keys would no longer work ,keys
I spilled a very small amount of coffee on this keyboard (probably less than a teaspoon) and several keys now fail to function , keys now fail to function ,keys
"The second one was terrible, several keys are really sticky --they don't bounce back right away, and the Space bar is the worst of them all", keys are really sticky ,keys
"UPDATE: After two months of using this keyboard, more keys stopped working ", keys stopped working ,keys
Like other users have said the keys are not very responsive especially the space bar, keys are not very responsive ,keys
Also is missing several function keys that make it hard to use keyboard shortcuts, keys that make it hard  ,keys
"If you try one in store, that wiggle in the keys is not from buy-nothing kids repeatedly pounding on it with their fists for months", wiggle in the keys  ,keys
This however blocks the internal antenna and cause keystrokes to be missed , cause keystrokes to be missed ,keys
The reason I would like to give it negative stars is that the printing on the keys is disappearing with less than 6 months of use, keys is disappearing  ,keys
"Just for comparison's sake, I have a very standard beige keyboard that has keys in almost as bad a condition as this one", keys in almost as bad a condition  ,keys
The design is good but the feel of the keys is poor , keys is poor ,keys
"Additionally, some keys are easier to depress than others which interferes with typing", keys are easier to depress  ,keys
"However, sometime I have to make an extra effort to punch the keys for the letter to show up on the screen and the location of the right-side shift key is ""off"" from the full-sized keyboard, which leaves me pressing the page up key a lot", punch the keys  ,keys
"However, there's one glaring flaw that isn't apparent until you've used the keyboard full time for 2-3 years: The letters/symbols on the keys wear off over time ", keys wear off over time ,keys
This IS a problem because you'll be filling out a long form or doing extensive work in a browser and all of a sudden you'll go back a page and lose the data when you barely miss the spacebar and hit one of those keys instead, hit one of those keys  ,keys
"Without having spilled liquids in the keyboard, getting it full of food crumbs, or physically damaging it, I've noticed that some keys stick ", keys stick ,keys
"If I try relaxing, I often press keys in the wrong order or miss them", press keys in the wrong order  ,keys
"It's useless when keys stop working , and really annoying when one moment it was working fine and in the middle of your email, the ""C"" key stops working or the right shift stops working", keys stop working ,keys
The keys have quite a mushy feel ; definitely not a good choice for heavy duty writers or coders, keys have quite a mushy feel ,keys
"THe Bad: The keys are too small , touchad is on right side of keyboard", keys are too small ,keys
These keyboards suffer from poor quality (made in China like everything else these days) and I've got a stack of bad ones sitting beside me that have to be thrown out due to non-functioning keys , non-functioning keys ,keys
"It is fine except to one thing - after writing one book with it the E, D, S, and C keys are nearly blank ", keys are nearly blank ,keys
The keys don't have the tactile feedback of even the basic free keyboard bundled with new computers, keys don't have the tactile feedback  ,keys
"Pros ++ Keyboard installs itself on Vista or later and all extra keys work with the basic drivers ++ Key layout is curved slightly, good for those who don't want a full split keyboard ++ Integrated number pad is a nice extra for a budget keyboard ++ Quiet key action will suit those who don't like loud ""clicky"" keyboards ++ CTRL Shortcuts are starred under common keys like x, c, v, b, u, I, & f, making this a good learning keyboard ++ Additional extra keys include the normal function keys, back, forward, music controls and 3 extras (web/home, search & mail) ++ There's even a calculator shortcut button built-in ++ Keyboard's lower profile is much thinner than most ergonomic keyboards ++ Lowest cost in an ergonomic keyboard makes this an option for those on a budget Cons -- Plastic body is noticeably cheap -- Keys have little tactile feedback , making this unpleasant to use for longer periods -- Not curved enough for those who prefer full split ergonomic designs -- Keys are sticker prints that will eventually wear off (typical of low cost keyboards) -- High failure rates (also typical of low cost keyboards ALTERNATIVES It's a challenge to find decent results with ergonomic or split keyboards in this price range", Keys have little tactile feedback ,keys
All the other keys are soft and take little effort to strike, keys are soft  ,keys
"cons: - The keys are quieter on this model, but slightly harder to depress causing a minor slow down", keys are quieter  ,keys
"- the rows of keys are FLAT - - - you must prop your wrists up high - - - - so you don't hit the key below the one you want - - - - BUT adding a wrist rest hides the LED's for caplock, etc - - - - - and blocks the back & forward buttons - the cord exits right on the edge - - don't let it land on edge - the cord will be severely bent - - - I lost a Natural MM KB with a cord like this - - - - (Natural Pro recessed the cord exit, no risk of bent cord)", rows of keys are FLAT ,keys
"It has a nice wrist cushion, but overall, the feel of the keys, the unwieldy over-sized footprint, and flimsy keys don't add up to a very good typing experience", flimsy keys  ,keys
It never worked again; most of the keys did not work , keys did not work ,keys
"It's not a bad keyboard, but I've been using it for work for about a year and the first think that annoys me is that the letters on the keys wear off ", keys wear off ,keys
On this keyboard it's easy to type multiple keys on accident (I find it happens more often with passwords) due to the sloppy feel of the keyboard, type multiple keys  ,keys
"Add this to the fact that the keys feel ""squishy"" and you've got one crazy typing experience"," keys feel ""squishy""  ",keys
"I really did try to get use to this, but I kept finding myself pressing incorrect keys , or having to look at the keyboard to make sure I hit the right key", pressing incorrect keys ,keys
"Cons: - The tiny plastic feet are useless - Some letters on keyboard are larger than others (annoying) - Keys feel way too soft and offer no feedback - Missing extra media controls While this keyboard may be ""comfortable"" and looks nice, it's just not practical for daily use if the feet break, the keys feel strange , and it slows down your typing experience", Keys feel way too soft ,keys
The spacing of the keys on this keyboard seems too large (? [seems] [large] , spacing of the keys on this keyboard seems too large ,keys
The keys are loud , keys are loud ,keys
"The first one lasted 3 years, before several keys started refusing to respond --even with extra pressure", keys started refusing to respond ,keys
"Its size is a bit larger than I'm accustomed to, the keys do not accept double letters and make me hit the same key three to four times to get two f's or two l'l or two anything, and the spacebar has to be hammered to work, but all in all, things were working out", keys do not accept double letters ,keys
"Granted, most people won't need them, but if you're a programmer, then having arrow keys chopped in half and shoved into a non-standard configuration is a major shortcoming", keys chopped in half  ,keys
"The ""T"" and ""G"" keys are consistently larger than the elite (The elite T&G keys are technically the same size as the 4000 series, but are raised in such a way that typists may need to get used to the new feel of these keys)", keys are consistently larger  ,keys
"This popular keyboard is famous for having keys suddenly stop working , work intermittently or different keys work at intermittent times", keys suddenly stop working ,keys
In summary: Pro: Ergonomics are good Typewriter keys and numeric keypad are fine Con: arrow keys and navigation keys are too small and in a non-standard position keyboard is wobbly and little flimsy keys are a little mushy when pressed, keys are a little mushy  ,keys
"The keys are very hard to press - within 1 minute of typing, I am already feeling cramps in my hands", keys are very hard to press ,keys
0 (certain keys would not work properly ) and the keyboard feels cheap, keys would not work properly ,keys
The Ergo 4000 has keys that don't feel nearly as good as those from older keyboards - this being my major reason why I won't buy this keyboard (I would have otherwise), keys that don't feel nearly as good ,keys
They feel like cheap plastic (some keys are harder to hit and some are so light after a while that they get activated as soon as they are gently touched), keys are harder to hit  ,keys
"The first thing I tried it, I immediately realized that I need a very hard press on keys ", need a very hard press on keys ,keys
"After about 2 weeks to 1 month, the keys start becoming louder , less smooth, while still functional", keys start becoming louder ,keys
"I find that the keys feel, well, soft to me , for lack of a better word"," keys feel, well, soft to me ",keys
The keys lack a responsive crispness that better keyboards have,  keys lack a responsive crispness ,keys
"And I found that the angle of the keys meant my elbows had to be kept at an uncomfortably wide angle, causing instant discomfort in my shoulder muscles", angle of the keys  ,keys
"The 'H' key didn't work and two other keys were very sticky , making a really annoying loud clicking sound each time I hit them", keys were very sticky ,keys
The keys are soft , keys are soft ,keys
This keyboard only lasted 4 months and then random keys stopped working , keys stopped working ,keys
"The simultaneous pressing of 3 or 4 keys causes some sort of lock-up and your keyboard will send a constant signal of movement, even though you've lifted your hands off the keyboard", keys causes some sort of lock-up ,keys
"(Mine showed up with three keys dislodged , and didn't function after careful set up--no number lock/caps lock lights to suggest it was responding to either of my up-to-date computers", keys dislodged ,keys
"After only a few days of use, the spacebar stopped working, and the number keys were either broken or typing strange combinations", keys were either broken ,keys
"The action of the keys are stiff , and what is worse: noisy", keys are stiff ,keys
The keys could be slightly smaller , keys could be slightly smaller ,keys
With this keyboard you can program those keys like that now but the fact that they stick and are not real keys make that useless , keys make that useless ,keys
It seems obvious that a lot of people are having certain keys conk out at some point, keys conk out  ,keys
"The problem lies when you have to reach for the keys (that are hard to reach even on a regular keyboard) such as the 1,2,0,-,+,and BACKSPACE keys", reach for the keys ,keys
If you have above average length fingers this may not be a problem but if you have average to below-average length fingers/hands there is definitely a problem due to the fact that these keys slope downward away from the reach of your hands in addition to the regular reach you have on a non-ergonomic keyboard, keys slope downward  ,keys
Those keys are in a different zip-code on this keyboard, keys are in a different zip-code  ,keys
"The downward slope feels great with the regular keys but constant reaching for the 1,2,0,-,+, and BACKSPACE keys will cause pain rapidly", keys will cause pain ,keys
If they would have made those keys closer or not had those keys slope down and away from your hands it might be OK, keys slope down  ,keys
Or if they made the keys near them smaller to make these keys a little closer , make these keys a little closer ,keys
"Or if they made one with smaller keys , or keys not so far apart, or out of reach due to the downward slope of the keyboard", smaller keys ,keys
I hope this review helps and gives incentive to the majority of us without large hands/fingers to test it in a computer store/electronics store first to see how well your fingers can reach some of those out of out-of reach keys , out-of reach keys ,keys
"Unfortunately, after a few months using the keyboard, some of the keys stopped working properly", keys stopped working  ,keys
Other reviewers have had similar problems with other keys , problems with other keys ,keys
"All the extra keys just sit there , I haven't trained myself to use them", keys just sit there ,keys
"The second is that the volume keys don't work unless you have clicked on the volume icon in the taskbar first, which kind of defeats the purpose of having the keys in the first place", keys don't work  ,keys
"It is a little difficult to use due to it's non standard layout, the keys feel a little mushy and the overall construction is a little flimsy", keys feel a little mushy  ,keys
I also found it hard to see the keys in a dimly lit room even with the back light on, hard to see the keys  ,keys
This is the only keyboard I have ever had where keys routinely cease to respond , keys routinely cease to respond ,keys
"I bought this keyboard once, experienced the malfunctioning keys and decided to bright the ""faulty"" keyboard home to use with my laptop and buy a new one for work", malfunctioning keys  ,keys
I had owned one of these keyboards a few years ago and the keys started going bad , keys started going bad ,keys
"Most of the time keystrokes get throught with no problem, but for no obvious reason, the keyboard occasionally locks up and keystrokes aren't registered ", keystrokes aren't registered ,keys
"Got the perfect touchpad sensitivity in the first shipment, but there was something wrong with one of the keys ", something wrong with one of the keys ,keys
"The board & mouse have a great feel and are very responsive, until the keys stop working ", keys stop working ,keys
"At first my keys stop registering and I would have to push really hard on them to input, I thought a change of batteries would fix the problem", keys stop registering ,keys
"Eventually, most of the keys completely stopped working right after the warrenty ran out,of course", keys completely stopped working ,keys
"So next I opted for this, the even cheaper 2000 keyboard only, as the mouse that came with the 3000 still works great, and sure enough, the keys started to become unresponsive after a few months! [opted, came, works, started, become] [next, cheaper, great, unresponsive, few] ", keys started to become unresponsive  ,keys
I've had one Comfort Curve 4000 and two 2000s and all of them have failed --- some of the keys become unresponsive , keys become unresponsive ,keys
"However, it uses a non-standard layout for the home, end, and delete keys which can be difficult to get used to", keys which can be difficult  ,keys
"The arrow-directional keys are not in the standard position , or like they are on other Microsoft natural Keyboards, which is odd", keys are not in the standard position ,keys
"But even though they keyboard was not being used that often, the same issue reoccurred a few months later and two other keys would no longer type ", keys would no longer type ,keys
The other keys are also a bit too stiff , keys are also a bit too stiff ,keys
A lot of people have commented on the function keys but the exact working of these convenience keys is a minor issue for me, keys is a minor issue ,keys
"Anyway, this product does what I bought it to do, but looking at those dead shortcut keys all the time bums me out", dead shortcut keys  ,keys
Other keys also got sticky after a few weeks of use, keys also got sticky  ,keys
The spacebar has more resistance than the other keys and that is not pleasant, more resistance than the other keys  ,keys
The keys are quiet but the depression of the keys are a little bit harder than the previous models, depression of the keys are a little bit harder  ,keys
The thing I hate the most is when you're typing and the keys are hard to press or you have to hit the keys at a certain angle in order for it to go down and register, keys are hard to press ,keys
"This 4000 model, the keys are soft yet you have to hit the keys a little bit harder for it to go down", keys a little bit harder ,keys
I just cannot stand typing on keyboards that have keys that are hard to press , keys that are hard to press ,keys
The design is nice but the keys are hard to press which mean you have to hit the keys that much more harder, keys are hard to press  ,keys
I had to replace the first one because I spilled something on it and after that it would type incorrect letters for the keys struck , incorrect letters for the keys struck ,keys
I bought this to replace my original generation natural keyboard which I had for seven years at work before one of the keys stopped functioning , keys stopped functioning ,keys
"The key layout in the positioning of the keys is good and the feel of the keys is nice, and I do like the ergonomically design to keyboards, but for the combination of the keys being lower in the center and the flat design, we will be looking to get a different one", keys being lower in the center ,keys
"It's a nice enough keyboard and mouse, but it has a terrible time with dropped keystrokes and multi-second keystroke lag", dropped keystrokes ,keys
The keystrokes start lagging and the cursor action is very choppy around only 5' away, keystrokes start lagging ,keys
"Overall it works well but some of the keys have a very loose, cheap feeling "," keys have a very loose, cheap feeling ",keys
Even when connected the connection was spotty from any more than 5 feet away and keystrokes were not recognized most of the time, keystrokes were not recognized  ,keys
but this is not the key board for you if you are used to finding keys by instinct , finding keys by instinct ,keys
"some keys are not where they ought to be (or at least not where people are generally used to finding them intuitively--shift key for example), located in wrong places and in wrong (meaning, disproportionate) sizes and shapes", keys are not where they ought to be ,keys
"a) keys get stuck b) range is at most 2 feet, not *up to 100* feet as advertized on the box", keys get stuck ,keys
Limited range and stuck keys makes it useless for HTPC, stuck keys  ,keys
" Same keys failed , in about a month", Same keys failed ,keys
It is difficult to pick the device up without pressing keys , pressing keys ,keys
 Some keys are sensitive while others need breaking into, Some keys are sensitive ,keys
"The keys are grid shaped , not offset like a normal keyboard and because of the touch pad on the right it's not as easy to type on as say an Iphone because you'r right thumb has to reach considerably further to hit any of the keys", keys are grid shaped ,keys
Sitting about 10 ft away from the computer I found that it drops keystrokes about every 5th input, drops keystrokes ,keys
"Also, these keys are now half-sized , and therefore harder to hit", keys are now half-sized ,keys
"All the keys are designed very cheaply and will not take a great deal of repeated use, especially if you are heavy handed", keys are designed very cheaply  ,keys
"Comparing with my previous one, which is also logitech, the keys in this keyboard are a bit small and harder to hit", keys in this keyboard are a bit small ,keys
I already discarded one and replaced it due to failing keys , failing keys ,keys
"I've had about 3 so far, and some have had failed keys (the ALT key sometimes is difficult to press)", failed keys  ,keys
"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys ", squished-together arrow keys ,keys
"Typing can be quite a chore, you will be typing along and then certain keys just don't respond , not always the same key and quite sporadic to which one(s) it chooses",  keys just don't respond ,keys
The keyboard is so light/flimsy and the keys are clunky feeling , keys are clunky feeling ,keys
This keyboard is horrible for people with repetitive stress injuries because the keys are so hard to depress , keys are so hard to depress ,keys
I'm not sure what the manufacturer was thinking (maybe harder to push keys give the illusion of sturdiness ) but it is irritating for wrists that are already prone to inflammation, keys give the illusion of sturdiness ,keys
"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys ", squished-together arrow keys ,keys
The keys themselves are hard plastic but they feel mushy when pressed, keys themselves are hard plastic ,keys
"The keys are glossy and hard , compared to what is shown here", keys are glossy and hard ,keys
"Regardless, the keys are very difficult to type on compared to the T-Mobile G2 keyboard that I'm used using on a daily basis", keys are very difficult to type  ,keys
It also take a while to get use to the smaller keys like the shift and the backspace, get use to the smaller keys ,keys
"it worked great for a while but then the keys stopped working for some reason, however the keyboard is very comfortable to use, just don't save up your money for this", keys stopped working ,keys
"I bought this keyboard just a week ago, thinking that what the other reviewers were saying about the keys being too hard to press was an exageration", keys being too hard to press ,keys
this one feels kind of weird as if he keys are kind of sharp , keys are kind of sharp ,keys
"I have been using older microsoft ergo keyboards for years without issues, but these ones seem to have a few issues the buyer should be aware of: *The lettering on the keys WILL wear off and do so FAST", keys WILL wear off ,keys
*The larger keys tend to lose their ability to stay properly centered, keys tend to lose their ability ,keys
"This causes keys that feel wobbly and rock side to side slightly, and it can be quite annoying", keys that feel wobbly  ,keys
The keys are very noisy , keys are very noisy ,keys
